PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/1/2025,04:10.8,1,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,0,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.337785,-0.818267,3.076914,2181.523987,147.952572,11:00,6.550304,-1.324055,5.814877,-16.43509,19.894871,-10.830701,4.420031,0.636877,78.796956,-3.948435,1.011513,0.433814,,,,,,,,,,,,6.073912,12.280209,1.077181,50,6.475756,-6.506437,-126.836811,-2.286503,11.140567,28.80437,-14.131353,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,ce879065-702f-30f7-8d7a-d1a1168e33ab,86.034329,,,8.455219,1.506771,4.426317,-0.635264,,,,oa32o7u4,3/1/2025,04:10.8,2025-03-01T14:04:10.8034221-05:00,2025-03-01T19:04:10.8034221Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,a97ed94a-9e16-4d14-80a1-c4e164151cf2,54.134703,-127.772343,14.402185,6.542566,-1.827533,-7.065676,1.294379,-6.868269,5.570283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.265591,,0.999064,,,,,-3.445344,5.228977,0.349642,,,,-139.769676,106.362953,-7.832213,-39.758125,53.004924,-15.080548,7.235424,-5.771743,0.674291,,,,,,,,
2,3/1/2025,04:26.4,1,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,1,0,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.217627,-2.719382,1.989956,2212.28063,141.301061,10:45,6.504771,-1.172952,5.732647,-14.300623,21.389122,-9.186624,2.779111,-0.08469,80.565354,-5.403298,0.256322,0.429975,65.20287,43.505425,-150.338444,2595.625997,-95.76922,57.874193,-54.112768,204.8096,159.930893,-150.651243,3.746948,4.826293,13.268698,1.011582,50,6.271553,-4.137659,-126.832922,-6.446401,9.085885,23.137773,-11.775521,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,9c5a31ed-561b-3bf4-876f-ce1aef5d2061,86.664946,57.909559,2.789942,6.575012,2.338352,2.86601,0.089097,1.199637,2.712725,0.104724,oa32o7u4,3/1/2025,04:26.4,2025-03-01T14:04:26.4322382-05:00,2025-03-01T19:04:26.4322382Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,412c3cc2-e12b-4b3e-8089-23073de62959,54.134609,-127.584958,11.568887,6.474857,-6.063667,-5.88776,1.150865,-4.432973,4.542942,176.651212,28.191998,-65.062631,6.443914,-1.084188,0.102663,-0.0001,0.002053,-0.000698,0.000056,-29.532526,84.353,-22.917782,0.711647,0.713692,-0.355144,0.074333,-0.007088,0.000238,15.196767,-36.377996,3.602939,-0.606194,0.057401,-0.000056,0.001148,-0.00039,0.000031,57.448834,,3.831768,,,,,-2.978222,6.155605,0.78405,,,,-476.581943,140.272994,-6.838456,-304.091944,138.030795,-15.306532,23.096791,-7.124942,0.443327,,,,,,,,
3,3/1/2025,04:46.7,1,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,1,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.727546,-1.442415,1.806578,2296.93891,147.223115,11:00,6.777331,-1.135573,5.393628,-12.869952,22.187626,-7.930712,4.353217,-0.102788,81.337849,-3.859025,0.314046,0.42615,,,,,,,,,,,,4.151193,13.294777,0.978097,50,6.642872,-3.792365,-127.686227,-3.597894,7.972274,21.994987,-11.249899,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,351801c5-300c-3cdf-9fd5-f3a7a2cb0aca,86.907853,,,6.276452,2.092718,4.398708,0.106628,,,,oa32o7u4,3/1/2025,04:46.7,2025-03-01T14:04:46.6726716-05:00,2025-03-01T19:04:46.6726716Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,8fe98e9d-daa6-45e6-a9dd-4c1566834531,54.134215,-128.396404,10.997494,6.753177,-3.234656,-5.624949,1.104701,-4.049775,3.986137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.462312,,1.294282,,,,,-3.388581,5.323603,0.415584,,,,-166.817925,107.896594,-7.499931,-60.925383,65.086987,-15.449472,8.825583,-6.417551,0.888866,,,,,,,,
4,3/1/2025,05:03.0,1,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,2,1,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,88.839973,-2.104821,2.005042,2171.694037,144.324129,10:45,6.471784,-1.245897,5.842913,-18.111586,16.322753,-10.854987,3.005882,-0.286505,81.929393,-5.511058,-0.046119,0.422345,68.108663,34.293506,-161.464034,1978.248365,-104.498476,44.202268,-34.359944,214.69788,212.868671,-161.838477,3.256226,5.646691,10.642491,1.087932,50,6.292059,-4.201334,-129.24565,-5.292211,11.006583,24.68385,-16.001702,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,51fbdd82-a072-39c9-9c2d-f1d002bc869d,88.405756,44.21933,3.222214,6.843502,3.399582,3.19469,0.286419,1.229599,2.991799,0.237657,oa32o7u4,3/1/2025,05:03.0,2025-03-01T14:05:03.0265457-05:00,2025-03-01T19:05:03.0265457Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,71b94df6-7b04-4544-b216-6a6aacbec724,54.133775,-130.032739,12.341925,6.452676,-4.781968,-8.000851,1.227494,-4.552298,5.503291,175.586302,35.883762,-85.229181,8.426114,-0.94172,-0.223799,0.162063,-0.038096,0.00429,-0.000189,-24.542786,74.134502,-21.573786,-0.345883,1.449846,-0.665348,0.148734,-0.016037,0.000637,11.577604,-27.889708,2.757293,-0.308161,-0.073234,0.053032,-0.012466,0.001404,-0.000062,56.739217,,3.203316,,,,,-2.508856,6.149893,1.563965,,,,-402.69594,137.666806,-7.527073,-231.078484,121.875326,-15.568184,33.780165,-12.626068,1.031665,,,,,,,,
5,3/1/2025,05:24.3,1,5,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,2,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.442799,-1.442752,1.032765,2427.83882,312.342639,4:30,6.325996,-1.520252,5.94984,-44.183094,-1.32301,4.109707,1.306023,-0.219929,74.300931,-9.684425,1.808019,0.471192,,,,,,,,,,,,-1.748038,2.598514,1.436288,50,6.190553,-2.195843,-115.712502,-4.096063,-2.739783,19.15686,-32.682784,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,b7d74c4a-275c-3766-affa-69c3b815bd21,79.392724,,,5.09723,3.719797,1.691164,0.291892,,,,oa32o7u4,3/1/2025,05:24.3,2025-03-01T14:05:24.2615392-05:00,2025-03-01T19:05:24.2615392Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,b98c18ee-ff6f-4895-83a0-7913182130ab,54.133448,-116.394806,9.57843,6.315711,-2.93201,-16.341392,1.512759,-2.098261,-1.369891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.161199,,1.938514,,,,,-3.751732,5.278583,0.587697,,,,-198.45937,93.462709,-5.254277,-114.694382,87.629907,-15.704203,0.205649,-0.167554,0.135328,,,,,,,,
6,3/1/2025,05:47.1,1,6,"Goldstein, Charlie",809709,Left,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,3,2,Slider,Undefined,InPlay,Undefined,GroundBall,Out,1,0,ReportType:HE|Version:1|Revision:0,79.638642,-0.605964,1.351563,2418.867699,315.028627,4:30,6.42886,-1.29428,5.935109,-45.735089,-3.292499,4.384495,2.055716,0.325031,74.750402,-9.132079,2.176247,0.468892,87.748476,-4.768512,31.075822,2638.787683,,,,23.29626,22.363798,27.357207,0.170288,-1.825161,1.452697,1.184503,50,6.358922,-2.856169,-116.052292,-2.459456,-2.894223,18.197269,-34.475967,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,dd5cb28e-34ef-3069-ac05-7465fdfa8c73,79.761155,2.245668,0.162665,4.843555,2.877408,2.287416,-0.269818,2.492642,2.245668,-0.307941,oa32o7u4,3/1/2025,05:47.0,2025-03-01T14:05:47.0548327-05:00,2025-03-01T19:05:47.0548327Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d315d7e6-78e5-4740-9d12-f2ed68fa22f0,54.134552,-116.698799,9.098634,6.424543,-1.234605,-17.237983,1.28415,-2.753344,-1.447112,284.641518,-50.157117,121.011631,-13.768091,0.915838,,,,,,4.105778,2.619783,-14.57529,0.000112,,,,,,-32.171319,73.235651,-8.332382,0.55426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3/1/2025,06:23.9,2,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Moise, Mac",,Right,FGCU,Windup,1,Top,1,0,0,Changeup,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.793549,-1.487835,1.095455,2112.312286,107.536554,9:30,6.447357,-1.596819,5.999426,-34.678431,8.478947,-19.122493,2.178822,-2.175227,73.125703,-8.028319,-2.542917,0.472823,,,,,,,,,,,,9.496074,7.382411,1.519668,50,6.314288,-1.713875,-116.088407,-3.933172,14.692906,22.850005,-25.257027,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,7a5d77a2-7349-3083-bc45-1e3bfa0d8df8,79.194991,,,6.619835,2.757393,2.365982,2.116891,,,,oa32o7u4,3/1/2025,06:23.9,2025-03-01T14:06:23.9278728-05:00,2025-03-01T19:06:23.9278728Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,14a9ebfb-86cb-4b3b-8a01-939f74d2b986,54.134201,-116.899321,11.425003,6.437966,-3.036836,-12.628514,1.589744,-2.235305,7.346453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019808,,0.907286,,,,,-3.886371,4.298289,3.154166,,,,-110.807371,83.735821,-4.537942,-44.08322,54.799915,-14.305825,12.09613,-8.883767,1.742318,,,,,,,,
8,3/1/2025,06:41.5,2,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Moise, Mac",,Right,FGCU,Windup,1,Top,1,1,0,Changeup,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.018637,-2.924695,2.254502,2129.522372,117.167152,10:00,6.393277,-1.484562,5.74295,-31.264384,11.572713,-10.40907,1.062982,-0.251855,74.669802,-8.711736,0.306432,0.471066,,,,,,,,,,,,5.342295,8.974291,1.302193,50,6.135314,-4.2478,-115.016939,-6.721945,8.429959,15.546975,-22.668496,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,04a51e98-1c55-3370-811b-db9e724c143a,79.111416,,,4.294764,3.093621,1.31715,0.261832,,,,oa32o7u4,3/1/2025,06:41.5,2025-03-01T14:06:41.5290187-05:00,2025-03-01T19:06:41.5290187Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,2ce7a8c9-7b45-4038-b1cf-3b6532ab7525,54.133464,-115.574314,7.773487,6.361735,-5.909257,-11.334248,1.459898,-4.550023,4.214979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.987055,,1.14432,,,,,-4.10842,4.963235,1.186565,,,,-113.134319,73.858251,-3.94077,-55.811986,61.172475,-14.578374,8.009649,-4.363551,0.086497,,,,,,,,
9,3/1/2025,07:02.3,2,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Moise, Mac",,Right,FGCU,Windup,1,Top,1,1,1,Changeup,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.443465,-2.354782,1.967884,2199.475425,122.074815,10:00,6.566073,-1.363064,5.363612,-34.504174,9.994108,-16.447181,1.482538,-0.887341,73.349811,-8.739997,-1.108278,0.480113,,,,,,,,,,,,8.152372,8.222787,1.194065,50,6.339033,-3.439695,-112.76518,-5.551758,12.391841,14.552234,-24.338208,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,dbad2a99-f4e3-3793-8340-837de5848c6f,77.088805,,,4.00928,3.040385,1.729349,0.857377,,,,oa32o7u4,3/1/2025,07:02.3,2025-03-01T14:07:02.2762343-05:00,2025-03-01T19:07:02.2762343Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,7d4a6fc5-f8e4-4078-8368-90148d3a04d7,54.133377,-113.297332,7.276117,6.525779,-4.661748,-12.169104,1.328135,-3.892846,6.19592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.265181,,1.084579,,,,,-4.516226,4.904239,1.513432,,,,-112.64725,75.080897,-3.81778,-51.414804,58.97407,-14.686793,9.660605,-6.631649,0.910557,,,,,,,,
10,3/1/2025,07:22.7,2,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Moise, Mac",,Right,FGCU,Windup,1,Top,1,1,2,Changeup,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,80.953245,-2.394451,1.971137,2339.54839,113.800181,9:45,6.470773,-1.503163,5.826615,-32.147659,9.585866,-15.166047,1.565021,-0.933914,74.660127,-8.428099,-0.903927,0.464958,,,,,,,,,,,,7.755146,8.011126,1.349365,50,6.260315,-3.641377,-117.696284,-5.791631,12.443747,21.841556,-23.858083,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,abf8183a-8c87-36be-9926-c4a2355ad7aa,80.281875,,,6.227113,3.415576,1.856852,0.904525,,,,oa32o7u4,3/1/2025,07:22.7,2025-03-01T14:07:22.7317024-05:00,2025-03-01T19:07:22.7317024Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,89d173d2-474c-46eb-8449-2684345f5bbc,54.13362,-118.4609,10.920778,6.448446,-4.956423,-11.929042,1.484465,-4.076999,6.221873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.24328,,1.201464,0.843995,,,,-2.315042,6.255264,5.128231,73.22365,4.355244,52.2878,-183.623188,121.612602,-7.687952,-36.910826,44.592756,-11.21521,-90.696406,58.583343,-0.648036,,,,,,,,
11,3/1/2025,07:54.3,3,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Povey, Harrison",,Left,FGCU,Windup,1,Top,2,0,0,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.257401,0.534433,0.235663,2425.356814,312.043444,4:30,6.367375,-1.465566,5.812364,-46.319109,-0.421798,7.536112,3.004753,-0.618506,71.005303,-8.209837,1.667679,0.487602,,,,,,,,,,,,-3.568498,2.767119,1.442802,50,6.389697,-0.656018,-112.437151,-0.140807,-5.197036,20.859684,-32.66431,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,eeeaf3df-95ee-35df-b9c5-d4829f080f4d,76.535543,,,6.181482,2.745832,3.193735,0.656741,,,,oa32o7u4,3/1/2025,07:54.3,2025-03-01T14:07:54.2996646-05:00,2025-03-01T19:07:54.2996646Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ca6a523f-e501-47d9-b0eb-99b03d4bc4b1,54.133444,-113.201402,10.429842,6.372933,1.055939,-16.332155,1.463349,-0.46561,-2.598518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.886422,,1.106959,,,,,-3.877375,5.280684,0.747901,,,,-142.985521,97.734179,-6.581777,-52.289221,60.832708,-15.508212,7.773799,-4.750844,0.21616,,,,,,,,
12,3/1/2025,08:11.5,3,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Povey, Harrison",,Left,FGCU,Windup,1,Top,2,0,1,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,88.461903,-2.844586,2.974303,2252.909926,149.709858,11:00,6.615276,-0.976982,5.653718,-14.93574,19.392082,-8.991753,2.715859,1.050052,82.735715,-5.624808,1.2903,0.421691,74.068389,42.122139,-150.362402,2823.602994,-94.979463,65.726529,-55.490856,246.287481,169.026562,-150.065893,4.058228,4.821277,12.135552,0.729378,50,6.367193,-6.414251,-128.647913,-6.848239,9.482792,20.318663,-12.948453,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,ee359c0c-9ffd-3f1e-80b5-b4c871d042b2,88.232375,67.731189,2.562965,5.650537,2.668541,2.838519,-1.021338,0.708275,2.596291,-1.03838,oa32o7u4,3/1/2025,08:11.5,2025-03-01T14:08:11.5005354-05:00,2025-03-01T19:08:11.5005354Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d42d5d67-4c06-4629-8d3a-645f8884bf46,54.132957,-129.299025,10.159332,6.579997,-6.433305,-6.474226,0.939791,-6.718127,4.741396,180.031548,31.60127,-75.553887,8.493189,-1.548247,0.204618,-0.017689,0.003467,-0.000629,0.000041,-32.6035,92.729558,-25.252816,1.700971,0.301195,-0.219769,0.047365,-0.004398,0.000142,16.541721,-42.995021,4.833171,-0.881052,0.116441,-0.010066,0.001973,-0.000358,0.000024,47.783729,,2.549265,,,,,-4.293698,5.345486,0.458653,,,,-258.712284,101.968439,-5.497574,-164.077822,103.397004,-15.607924,22.094626,-9.233192,0.656586,,,,,,,,
13,3/1/2025,08:34.9,3,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Povey, Harrison",,Left,FGCU,Windup,1,Top,2,0,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,78.952419,-2.49954,2.182807,2475.17926,329.088711,5:00,6.410335,-1.399024,5.905052,-46.010781,-1.777013,1.651398,0.254877,0.765585,72.849226,-11.11017,2.496859,0.478684,,,,,,,,,,,,-0.228476,2.785864,1.22312,50,6.18831,-4.415397,-114.710523,-6.212187,-0.343404,22.510071,-32.468909,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,f04cb90c-e3cb-34e3-8625-a6267627d06e,78.091983,,,6.045811,2.525975,0.47114,-0.717224,,,,oa32o7u4,3/1/2025,08:34.9,2025-03-01T14:08:34.8611468-05:00,2025-03-01T19:08:34.8611468Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,b505423b-2e84-4d00-aa47-2dd3a40bcbdf,54.133193,-115.518747,11.255035,6.39043,-5.04639,-16.234454,1.381434,-4.403067,-0.171702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.679209,,4.28923,,,,,12.239609,5.86158,3.92563,,,,-388.956984,105.283641,-4.433477,-402.264659,162.710869,-16.173187,71.544695,-19.010382,1.012657,,,,,,,,
14,3/1/2025,09:01.4,3,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Povey, Harrison",,Left,FGCU,Windup,1,Top,2,1,2,Slider,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,79.288708,-1.391874,1.194164,2499.707384,315.61403,4:30,6.445551,-1.360887,5.853748,-44.714206,-1.439065,1.198209,1.426323,-0.151454,73.731217,-9.757937,1.420881,0.473468,,,,,,,,,,,,-0.302357,2.570635,1.263476,50,6.311772,-2.43776,-115.420519,-3.991835,-0.4681,20.281748,-32.748614,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,90d75046-b433-3d4b-9540-d61cefa7c92d,78.876279,,,5.498875,2.21597,1.562886,0.171265,,,,oa32o7u4,3/1/2025,09:01.4,2025-03-01T14:09:01.4412441-05:00,2025-03-01T19:09:01.4412441Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,26a96e3a-63cb-4019-bda1-e93b798d395e,54.13367,-116.144618,10.140874,6.433417,-2.822643,-16.374307,1.350211,-2.421048,-0.23405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.262111,,1.852216,0.849447,,,,-0.342711,6.066917,-0.244584,70.546992,8.073199,54.964458,-196.715606,85.15619,-0.309445,-97.350448,75.308485,-13.261044,-168.149089,77.470565,-2.268104,,,,,,,,
15,3/1/2025,12:02.8,1,1,"Eldem, Levent",,Right,FGCU,"Black, Ryan",,Left,GEO_BUL,Stretch,1,Bottom,0,0,0,FourSeamFastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,88.035274,-1.881297,-2.85712,2259.01639,220.824948,1:15,6.487082,1.83536,6.590518,-18.148051,16.652162,10.526443,3.250534,0.092713,81.769311,-5.28213,-0.876635,0.424583,,,,,,,,,,,,-5.61084,10.734262,-1.645264,50,6.349872,6.085503,-128.206191,-4.755141,-10.851563,22.427431,-16.016908,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,bf59df83-5b9f-326f-ac45-c5663e045fb8,89.143436,,,6.292586,1.679185,3.274885,-0.096776,,,,oa32o7u4,3/1/2025,12:02.8,2025-03-01T14:12:02.8268921-05:00,2025-03-01T19:12:02.8268921Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Moise, Mac",,Right,,c92a2da1-59ad-499f-a64f-f7369cdfe16e,54.134202,-128.927369,11.213716,6.494497,-4.2401,-8.008454,-1.84656,6.434447,-5.425781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46044,,1.697569,,,,,-3.250466,6.325887,1.215402,,,,-136.953518,69.374241,-3.001944,-94.239386,78.867773,-14.83371,2.988508,-1.680676,0.398253,,,,,,,,
16,3/1/2025,12:21.6,1,2,"Eldem, Levent",,Right,FGCU,"Black, Ryan",,Left,GEO_BUL,Stretch,1,Bottom,0,0,1,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,89.49887,-3.212758,-3.298369,2195.690093,217.752899,1:15,6.481289,1.761998,7.100249,-16.970708,16.923457,7.916888,2.149401,-0.574288,82.813823,-6.386314,-1.806003,0.419019,,,,,,,,,,,,-4.5094,11.145352,-1.569713,50,6.282347,7.265511,-130.196751,-7.828487,-8.935696,24.654074,-14.667588,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,41721d9c-d576-340b-a5cf-74fad9221937,91.17577,,,6.777753,4.925057,2.535036,0.460209,,,,oa32o7u4,3/1/2025,12:21.6,2025-03-01T14:12:21.5964341-05:00,2025-03-01T19:12:21.5964341Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Moise, Mac",,Right,,9ca81b19-338c-4382-9cc3-2923fd986826,54.133478,-130.977128,12.327037,6.522795,-7.364212,-7.333794,-1.804165,7.548353,-4.467848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.293591,,4.430547,,,,,-1.379408,6.510687,2.760643,,,,-319.268128,76.535461,-2.26526,-444.854143,166.862696,-15.215682,18.511861,-5.356475,0.434783,,,,,,,,
17,3/1/2025,12:43.4,1,3,"Eldem, Levent",,Right,FGCU,"Black, Ryan",,Left,GEO_BUL,Stretch,1,Bottom,0,0,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,75.993702,2.32267,1.020964,2278.448581,57.173092,8:00,6.663549,1.944213,6.34411,-52.791007,-5.767119,-9.948537,4.403449,2.055048,70.366208,-7.616652,-0.860781,0.49355,,,,,,,,,,,,5.000721,-0.090103,-2.013556,50,6.807093,-1.718601,-110.66041,3.143943,7.134063,18.361966,-36.867578,GEO_BUL,FGCU,Truist Park,College,CBB,oa32o7u4,f2e7d21d-71d4-3544-9feb-a63c0e295b5d,76.34122,,,5.624783,2.507188,4.547119,-2.071019,,,,oa32o7u4,3/1/2025,12:43.4,2025-03-01T14:12:43.4419793-05:00,2025-03-01T19:12:43.4419793Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Moise, Mac",,Right,,38899554-58b4-4c85-bec5-887a73fb79c3,54.133713,-111.344208,9.180983,6.664449,4.516887,-18.433789,-1.944609,-1.984273,3.567031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.965564,,2.08927,,,,,-2.551854,4.938533,0.810739,,,,-200.877158,87.8848,-4.297056,-133.451527,90.855752,-14.431813,4.245057,-2.314892,0.381449,,,,,,,,
