PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/28/2025,02:51.3,1,1,"Finley, Leighton",803287,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,0,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.014657,-1.48589,-2.418235,2136.133041,223.842868,1:30,5.915694,2.0242,6.037482,-21.848587,10.196589,10.115768,2.719056,0.626961,84.991092,-5.594591,-0.508454,0.40743,,,,,,,,,,,,-5.374851,7.401529,-1.840523,50,5.789518,5.343009,-133.919728,-4.151587,-11.262605,26.19065,-21.241733,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,a17eab12-14b4-34c8-9eb8-cf86523be054,91.964809,,,6.980208,3.406539,2.910942,-0.646035,,,,8rzczz0j,2/28/2025,02:51.3,2025-02-28T15:02:51.3095453-05:00,2025-02-28T20:02:51.3095453Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,b6cd8348-e340-42b6-a3e3-0d0c0c1b4961,54.134048,-134.725796,13.095325,5.907231,-3.497831,-10.620867,-2.010298,5.689638,-5.631303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2/28/2025,03:09.9,1,2,"Finley, Leighton",803287,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,0,1,Changeup,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,86.220196,-0.111644,-4.638401,1426.28316,243.334408,2:00,5.564387,2.216535,6.793417,-33.956041,2.772102,18.661637,2.632999,-0.470921,79.343014,-6.512703,-1.114091,0.436185,,,,,,,,,,,,-10.030522,3.852778,-1.924552,50,5.541235,9.631183,-125.334124,-1.222935,-18.306633,24.143457,-29.694922,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,5a8b452d-c069-3c65-bd25-9f4945d02cc7,87.09282,,,6.936053,2.620271,2.768794,0.446527,,,,8rzczz0j,2/28/2025,03:09.9,2025-02-28T15:03:09.8741688-05:00,2025-02-28T20:03:09.8741688Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,28c038f7-47b9-4cfb-ad5c-b22753633e3e,54.13399,-126.127952,12.071728,5.565394,-0.246577,-14.847461,-2.251118,10.233098,-9.153316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.799461,,1.409522,,,,,-4.571511,5.322081,0.613604,,,,-174.626465,103.809478,-6.324921,-67.710985,65.669602,-14.141153,4.271254,-3.435736,0.787789,,,,,,,,
3,2/28/2025,03:28.4,1,3,"Finley, Leighton",803287,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,0,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.32763,-1.357246,-2.275788,2023.699551,229.506553,1:45,5.793939,2.062501,6.934687,-16.493102,14.729711,9.806025,3.184106,0.807123,85.705403,-4.472193,-0.418942,0.402168,77.642897,31.020558,-140.853893,1951.45232,-85.079615,44.844046,-69.72451,251.848126,217.123639,-140.834493,3.338013,-5.239746,9.515414,-1.925364,50,5.701749,5.09792,-135.984015,-3.73904,-11.244969,28.690068,-16.30309,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,df3f556b-d28c-310e-9345-5d8fd0e6ce67,94.704258,46.433228,2.773732,7.703603,3.153066,3.318196,-0.820882,-0.028648,2.991053,-0.768449,8rzczz0j,2/28/2025,03:28.4,2025-02-28T15:03:28.4307146-05:00,2025-02-28T20:03:28.4307146Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d7e05f62-4b15-4c57-8566-63a3ec0e3372,54.133906,-136.853412,14.345034,5.807568,-3.245006,-8.151545,-2.08501,5.438677,-5.622485,178.875541,32.677657,-82.535948,9.242985,-1.151447,-0.174697,0.156239,-0.03928,0.004708,-0.000224,-25.010636,77.000891,-23.076157,0.316514,1.193151,-0.582917,0.132436,-0.014472,0.000592,25.748568,-66.91698,7.493858,-0.933549,-0.141638,0.126673,-0.031847,0.003817,-0.000182,40.460005,,2.786035,,,,,-3.296721,5.315535,2.483653,,,,-216.387973,76.875909,-3.148638,-206.54103,116.325398,-15.643687,13.920106,-4.550273,0.3021,,,,,,,,
4,2/28/2025,03:50.9,1,4,"Finley, Leighton",803287,Right,GEO_BUL,"Dempsey, Evan",,Left,FGCU,Windup,1,Top,0,0,2,Changeup,Undefined,InPlay,Undefined,GroundBall,Single,0,0,ReportType:HE|Version:1|Revision:0,86.480101,0.818461,-3.210545,1331.402663,246.507203,2:15,5.522739,2.198768,6.593997,-33.276205,3.45005,11.810333,3.499623,0.23862,78.815494,-5.497537,-0.966406,0.436174,95.350409,2.716494,-16.059311,7512.326279,,,,85.946035,79.336413,-17.937197,0.670776,-6.510922,3.926527,-1.985197,50,5.563041,6.717907,-125.802295,0.845109,-11.841448,26.657089,-29.545421,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,01bb1265-39c7-33d5-a6b8-20c2be833684,86.775364,3.901619,0.614933,7.698502,2.037381,3.558902,-0.249256,0.679431,3.431178,-0.183654,8rzczz0j,2/28/2025,03:50.9,2025-02-28T15:03:50.9066844-05:00,2025-02-28T20:03:50.9066844Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,87e7ba55-069c-420c-aabc-09123ed3774d,54.133371,-126.675115,13.328544,5.519532,1.8125,-14.772711,-2.211505,7.105625,-5.920724,85.402322,-51.06177,45.925273,429.916206,-1104.200428,1641.206221,-1495.933442,813.381158,-238.613902,28.302635,6.779898,-74.293547,399.012554,-1001.197315,1437.805737,-1250.024866,632.862341,-164.806482,15.410526,16.588552,-14.88694,-139.3598,357.932891,-532.006394,484.915391,-263.66216,77.348063,-9.174461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2/28/2025,04:29.3,2,1,"Finley, Leighton",803287,Right,GEO_BUL,"Moise, Mac",,Right,FGCU,Stretch,1,Top,0,0,0,Slider,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,80.288319,1.68832,-0.30127,2053.208348,72.864515,8:30,5.740552,2.210739,6.1414,-41.921057,1.10291,-5.204991,3.807675,1.498616,72.517381,-6.307308,-1.297226,0.472092,20.332837,29.780818,122.86412,2433.082036,,,,25.825676,17.696051,124.74305,1.095581,2.431566,2.934232,-2.185406,50,5.849576,0.751249,-116.759373,2.335682,3.759075,25.345742,-32.096729,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,a02b3667-45ea-3e08-9c20-4ddd790bd4eb,79.522536,6.797799,0.758675,7.736836,2.604433,3.9369,-1.525261,0.320672,3.639616,-1.451707,8rzczz0j,2/28/2025,04:29.3,2025-02-28T15:04:29.2734144-05:00,2025-02-28T20:04:29.2734144Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,7b382d8a-9d18-4720-bbbb-f56254d07c60,54.134529,-117.653459,12.672871,5.747214,3.467914,-16.048365,-2.209567,0.618645,1.879538,254.013649,6.972171,-12.925548,-7.304616,21.385412,-31.541635,27.44836,-14.363244,4.163619,-0.515234,-4.607941,9.279294,57.456521,-140.011158,154.412387,-100.510098,36.88618,-6.55025,0.340823,-12.238,22.793762,-2.212066,6.119107,-11.832051,12.562741,-7.70278,2.531212,-0.346817,52.87343,,18.626248,,,,,6.580801,6.849676,2.103881,,,,-3878.621891,330.058913,-6.630287,-5887.25792,605.293145,-15.534036,246.623312,-24.166521,0.594991,,,,,,,,
6,2/28/2025,05:15.6,3,1,"Finley, Leighton",803287,Right,GEO_BUL,"Povey, Harrison",,Left,FGCU,Stretch,1,Top,0,0,0,Changeup,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,82.225793,0.417383,-2.340452,1210.512094,254.352679,2:30,5.580481,2.331734,6.640206,-38.355123,1.523863,12.530479,2.766332,1.232536,76.514667,-6.782587,0.020819,0.45451,,,,,,,,,,,,-6.480456,3.366162,-2.179935,50,5.590391,4.550731,-119.852046,-0.190777,-10.92862,20.032682,-31.093834,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,9f05b519-68be-3083-8462-e192fcb329b9,83.35031,,,5.743296,1.604075,2.788562,-1.232484,,,,8rzczz0j,2/28/2025,05:15.6,2025-02-28T15:05:15.6362634-05:00,2025-02-28T20:05:15.6362634Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,dbb9e8c3-6090-4530-beeb-7af65d5ab365,54.13479,-120.541174,10.016341,5.578556,0.878858,-15.546917,-2.342947,4.926678,-5.46431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.045586,,1.678107,,,,,-2.456962,4.842983,1.532735,,,,-232.320197,126.525091,-8.787713,-94.773374,80.260483,-15.731694,8.390442,-4.202644,0.462822,,,,,,,,
7,2/28/2025,05:36.7,3,2,"Finley, Leighton",803287,Right,GEO_BUL,"Povey, Harrison",,Left,FGCU,Stretch,1,Top,0,1,0,Changeup,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,1,ReportType:HE|Version:1|Revision:0,85.121285,-1.752798,-3.990583,1380.854372,246.805091,2:15,5.406945,2.362803,7.095464,-35.04456,3.043894,15.271386,0.896198,0.008408,77.697698,-8.370721,-1.084429,0.444189,,,,,,,,,,,,-8.436658,4.526874,-2.132221,50,5.286639,8.203478,-123.747427,-4.780034,-14.771597,26.83092,-28.740094,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,ea3826e2-4e6a-3206-aa4c-1fa6be84363f,85.991847,,,7.530842,4.605331,1.352506,-0.074438,,,,8rzczz0j,2/28/2025,05:36.7,2025-02-28T15:05:36.6900599-05:00,2025-02-28T20:05:36.6900599Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,73cf0842-03b4-4552-a321-d25a34c66673,54.133563,-124.640444,13.41546,5.429815,-3.823474,-14.370047,-2.41344,8.695122,-7.385798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.816117,,0.771686,,,,,-0.168038,5.937599,-2.528052,,,,-124.341543,114.161657,-9.898413,-16.655878,34.509422,-13.099507,107.012486,-102.758008,10.417558,,,,,,,,
8,2/28/2025,06:19.0,3,3,"Finley, Leighton",803287,Right,GEO_BUL,"Povey, Harrison",,Left,FGCU,Stretch,1,Top,0,1,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.641107,0.084918,-3.434238,2163.029909,224.576036,1:30,5.808045,2.262259,6.902021,-18.661876,13.231159,9.148338,4.330373,-0.106907,84.496359,-3.455372,-1.699632,0.406462,,,,,,,,,,,,-5.253538,8.502692,-2.050578,50,5.804745,7.809828,-134.839655,-0.375076,-11.015568,29.771675,-18.872214,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,d1cad004-ff56-39f9-8432-b88905688093,93.645305,,,8.226605,3.317257,4.442771,0.049307,,,,8rzczz0j,2/28/2025,06:19.0,2025-02-28T15:06:18.9892250-05:00,2025-02-28T20:06:18.9892250Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,bd2f955b-edde-4a65-8bd7-154cecd3013a,54.133862,-135.749315,14.885838,5.807396,0.201556,-9.436107,-2.294346,8.146404,-5.507784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.34059,,1.524467,,,,,-1.874047,4.919243,1.478314,,,,-205.423092,122.345882,-8.76826,-71.453028,68.912988,-15.205589,8.187697,-4.987613,0.783521,,,,,,,,
9,2/28/2025,06:38.3,3,4,"Finley, Leighton",803287,Right,GEO_BUL,"Povey, Harrison",,Left,FGCU,Stretch,1,Top,0,2,1,FourSeamFastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,91.677311,-0.287994,-3.392966,2146.971473,222.483173,1:30,5.694447,2.167905,6.878079,-19.64056,12.725238,3.834878,3.795473,-0.607671,84.274264,-3.995489,-2.668859,0.409463,,,,,,,,,,,,-2.620417,8.376463,-1.954958,50,5.66705,7.796373,-133.485709,-1.274733,-5.428037,27.252692,-19.381414,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,f90ea6ab-5fe1-3b6c-89aa-0697f7725203,92.92115,,,7.474358,2.703413,3.884288,0.547465,,,,8rzczz0j,2/28/2025,06:38.3,2025-02-28T15:06:38.2984690-05:00,2025-02-28T20:06:38.2984690Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,16c86538-839c-49c8-91f1-54247335135a,54.134036,-134.32707,13.626346,5.697168,-0.676378,-9.690707,-2.198239,7.96395,-2.714018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.812013,,1.569325,,,,,-1.954808,4.873044,1.402902,,,,-203.873506,118.728129,-8.432828,-76.873365,71.621124,-15.317358,9.422851,-5.561418,0.762318,,,,,,,,
10,2/28/2025,06:59.7,3,5,"Finley, Leighton",803287,Right,GEO_BUL,"Povey, Harrison",,Left,FGCU,Stretch,1,Top,0,2,2,FourSeamFastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.624607,-0.029969,-3.205702,2177.870897,222.730927,1:30,5.842691,2.033939,7.100932,-18.127222,12.784402,7.836318,4.30517,-0.224625,86.259,-3.451215,-1.7271,0.400159,,,,,,,,,,,,-4.467218,8.241549,-1.847166,50,5.832573,7.394249,-136.418796,-0.641374,-9.699037,27.5506,-18.852565,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,8e96c870-5560-3de3-b016-e1dc0c6880ee,95.473081,,,7.467907,1.402818,4.30432,0.22505,,,,8rzczz0j,2/28/2025,06:59.6,2025-02-28T15:06:59.6552744-05:00,2025-02-28T20:06:59.6552744Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d1f4329d-479a-4649-a438-448a7c461f99,54.133311,-137.251005,13.7753,5.843346,-0.071902,-9.426282,-2.074946,7.687223,-4.849519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.732736,,4.199913,,,,,9.5919,6.767225,2.682132,,,,-327.122266,89.861297,-3.622509,-345.245012,143.312908,-14.519278,24.558888,-7.89423,0.68227,,,,,,,,
11,2/28/2025,07:35.1,4,1,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,82.850883,0.033884,-1.384321,2278.785405,72.395536,8:30,5.765912,2.295087,6.908033,-37.890125,1.747763,-5.203201,2.639563,0.600668,76.401047,-7.110558,-2.37022,0.453134,,,,,,,,,,,,2.169798,3.519555,-2.205869,50,5.75045,3.0631,-120.792637,-0.977651,3.664331,23.136433,-30.769165,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,08801748-a44f-391f-b967-bb28efee9bb8,84.010357,,,6.519884,2.818515,2.811961,-0.658343,,,,8rzczz0j,2/28/2025,07:35.1,2025-02-28T15:07:35.1332860-05:00,2025-02-28T20:07:35.1332860Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,91838359-0241-4558-b0ee-9d3fae788bf5,54.133849,-121.58185,11.568216,5.765898,0.071924,-15.384583,-2.308224,2.938105,1.832166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.717819,,1.587314,,,,,-2.360077,4.850431,2.184121,,,,-224.829484,128.033435,-9.313581,-88.540331,76.402137,-15.012597,13.315818,-6.755,0.636865,,,,,,,,
12,2/28/2025,07:55.3,4,2,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,0,1,FourSeamFastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,94.050813,-1.397281,-3.695476,2069.997287,229.365817,1:45,5.816092,1.989432,7.348528,-17.730341,13.255338,7.047986,3.077129,-0.764956,85.821961,-4.751281,-2.358991,0.400638,,,,,,,,,,,,-4.326995,8.844726,-1.789012,50,5.731208,8.621678,-136.897004,-3.899122,-9.333526,31.206911,-17.614302,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,12199de5-2ef5-30cf-a75a-6c8dac489673,95.78806,,,8.380982,2.651448,3.178955,0.713655,,,,8rzczz0j,2/28/2025,07:55.3,2025-02-28T15:07:55.3020704-05:00,2025-02-28T20:07:55.3020704Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ebc1fc1a-e45f-4bf0-9743-982d5e6c4a62,54.13342,-137.836034,15.603455,5.84056,-3.3691,-8.807151,-2.052668,8.902528,-4.666763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.391525,,1.510044,,,,,-2.524949,4.936143,2.680895,,,,-198.906349,119.273999,-8.632047,-73.069006,69.914994,-15.224492,5.315274,-2.405158,0.537187,,,,,,,,
13,2/28/2025,08:15.1,4,3,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,0,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.971493,-0.355916,-3.271372,2093.993389,211.465263,1:00,5.896872,1.873617,6.6376,-22.661432,8.11873,5.350573,3.682669,-0.678293,86.528277,-4.629227,-2.261405,0.399307,107.752174,-7.632917,67.501114,2413.005532,,,,24.520283,24.520282,69.215185,0.158081,-3.30517,6.070898,-1.655375,50,5.862142,7.651026,-136.804251,-1.564571,-7.204362,28.193629,-23.505533,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,f58e64d0-756b-3581-b2b4-1d284b72197f,94.865545,3.560937,0.158081,7.481417,1.720347,3.707298,0.666236,-0.468801,3.560937,0.716988,8rzczz0j,2/28/2025,08:15.1,2025-02-28T15:08:15.1137251-05:00,2025-02-28T20:08:15.1137251Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,f39be37e-aa4d-461e-86d6-1b3eed2654b9,54.133838,-137.653546,14.096814,5.898607,-0.856498,-11.752766,-1.889121,7.868048,-3.602181,206.107491,-26.527484,66.619251,-9.313056,0.785617,,,,,,9.861515,-9.89602,-12.779048,-0.096445,,,,,,-62.390466,161.334758,-22.553835,1.902564,,,,,,52.86437,,3.357116,,,,,-3.448826,6.226256,5.027847,,,,-390.632966,129.409483,-7.011153,-252.575441,127.587713,-15.624418,51.575521,-17.754778,1.427763,,,,,,,,
14,2/28/2025,08:46.8,4,4,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,0,2,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,81.68501,-0.625988,-1.491868,2313.665701,57.179466,8:00,5.62103,2.207289,6.951191,-47.484008,-6.393247,-4.923209,1.094881,0.439342,75.200893,-9.571837,-2.428483,0.461364,,,,,,,,,,,,1.983878,-0.146515,-2.112601,50,5.560416,3.23348,-119.031986,-2.587837,3.22178,24.301205,-36.912438,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,213eb527-7a9d-3972-b46d-c7008dcd6383,82.575016,,,6.56338,2.759548,1.318548,-0.496005,,,,8rzczz0j,2/28/2025,08:46.8,2025-02-28T15:08:46.7971628-05:00,2025-02-28T20:08:46.7971628Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,ccfe1499-0c72-4ae2-aef2-cdba9cad326e,54.134647,-119.873131,12.150602,5.627878,-1.310176,-18.456219,-2.222592,3.121964,1.61089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44727,,1.48754,,,,,-2.442829,4.722177,2.609667,,,,-207.014476,122.024,-8.751781,-80.536747,74.012512,-15.529439,22.053735,-13.064528,1.584273,,,,,,,,
15,2/28/2025,09:07.2,4,5,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,1,2,FourSeamFastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,93.652709,-1.353152,-3.645094,2024.806004,229.029002,1:45,5.87498,2.029294,6.745205,-20.10851,11.023834,3.916213,2.963055,-0.978609,85.981685,-5.141811,-2.904997,0.401585,99.942521,27.388848,63.341427,2092.326159,48.521967,46.089065,98.72595,335.187652,293.079509,63.857797,3.677368,-2.741529,7.740726,-1.791932,50,5.776692,8.55676,-136.241074,-3.852435,-5.901429,29.093718,-20.061135,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,6827862a-4e6c-3707-990e-32e9be97f4c7,94.514002,55.928696,3.072954,7.725697,1.816991,2.999158,0.958187,0.452805,2.293115,0.721644,8rzczz0j,2/28/2025,09:07.2,2025-02-28T15:09:07.2465735-05:00,2025-02-28T20:09:07.2465735Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,08e0ff96-085c-451c-ba3c-0156454160fe,54.134824,-137.121206,14.546859,5.884055,-3.245553,-10.030567,-2.053488,8.735287,-2.950715,184.222001,-23.643077,62.915793,-9.176464,1.63036,-0.123426,-0.045649,0.015967,-0.002078,0.000102,-29.177021,88.493497,-27.787025,2.467683,0.310081,-0.292657,0.071823,-0.007835,0.000316,-48.405489,128.273894,-18.709147,3.324008,-0.251643,-0.093071,0.032554,-0.004237,0.000208,50.024292,,3.076655,,,,,-3.331477,6.561622,3.560634,,,,-317.106805,108.15743,-5.159599,-220.03339,118.132169,-15.233476,44.020279,-17.598157,1.715214,,,,,,,,
16,2/28/2025,09:36.1,4,6,"Finley, Leighton",803287,Right,GEO_BUL,"Moya, Robert",,Right,FGCU,Stretch,1,Top,1,1,2,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,92.708243,0.336947,-2.496944,2176.00149,222.74188,1:30,5.885636,1.857967,6.716952,-21.572162,10.228544,2.823207,4.395993,-0.19037,84.685126,-3.753375,-1.961414,0.405873,,,,,,,,,,,,-1.973094,6.987053,-1.694319,50,5.89781,5.800329,-135.011779,0.128465,-4.151739,29.694817,-22.00386,GEO_BUL,FGCU,Truist Park,College,CBB,8rzczz0j,7c57f4cf-9503-3da9-9b1d-d97e43a048b8,93.465984,,,8.07601,2.402961,4.460075,0.156441,,,,8rzczz0j,2/28/2025,09:36.1,2025-02-28T15:09:36.0656175-05:00,2025-02-28T20:09:36.0656175Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,1cf79496-4b8a-420f-98a5-2b26c3eefbb5,54.134747,-135.918143,14.847408,5.883639,0.800081,-11.00193,-1.873294,5.927051,-2.07587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.352169,,1.991941,,,,,-4.642276,4.830779,3.286392,,,,-220.540313,101.64789,-4.841137,-104.913872,79.772145,-14.181036,36.305157,-20.788112,2.926721,,,,,,,,
