PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/7/2025,04:19.1,1,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Brewer, Jackson",,Left,COL_LION,Windup,1,Top,0,0,0,FourSeamFastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,84.208601,-2.134144,1.962974,2105.712304,144.515772,10:45,6.35658,-1.192085,5.882606,-22.774961,16.159163,-15.538703,2.476265,-0.663483,76.539306,-6.447441,-0.998678,0.449093,,,,,,,,,,,,8.016832,10.991306,1.041007,50,6.173897,-3.761723,-122.368378,-5.195963,13.735067,26.087996,-17.836188,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,7fc1077e-87ed-3787-b443-d38b5207616f,83.206399,,,7.600206,2.729345,2.623274,0.641569,,,,v978vyqk,3/7/2025,04:19.1,2025-03-07T15:04:19.0863436-05:00,2025-03-07T20:04:19.0863436Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,1d665ac5-b10b-4efe-bc65-1ce8518e773e,54.134429,-123.246655,13.043998,6.338716,-4.595491,-8.918094,1.175433,-4.224127,6.867533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.775996,,1.228122,,,,,-3.222725,5.103948,0.806348,,,,-151.499788,98.037611,-5.74221,-52.552321,58.566066,-14.422644,11.14238,-9.350199,1.900522,,,,,,,,
2,3/7/2025,04:33.6,1,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Brewer, Jackson",,Left,COL_LION,Windup,1,Top,0,0,1,Slider,Undefined,InPlay,Undefined,GroundBall,Out,1,0,ReportType:HE|Version:1|Revision:0,75.536951,0.493897,1.68059,2457.418587,322.449381,4:45,6.228321,-1.472658,5.760242,-49.905424,-1.438179,12.11134,2.529714,1.101063,69.052198,-8.94079,3.987379,0.501067,65.502627,-35.773692,-31.285266,3474.499602,,,,5.02285,4.835687,-35.731143,0.044556,-5.389004,2.427143,1.32806,50,6.246398,-3.523299,-109.807747,-0.295445,-7.406878,21.580394,-33.316374,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,e6b30536-4f4e-3cc3-b551-249972fdf094,74.412248,2.502221,0.04212,6.403772,3.887106,2.908279,-0.931507,1.126398,2.502221,-1.140068,v978vyqk,3/7/2025,04:33.6,2025-03-07T15:04:33.6465282-05:00,2025-03-07T20:04:33.6465282Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,c54a6f72-941e-47d7-8edb-02ebb78b0ca4,54.133118,-110.617041,10.790197,6.23405,0.953966,-16.658187,1.45498,-3.245531,-3.703439,180,-33.479437,68.909275,3.62497,-7.824508,,,,,,29.751805,-54.169532,4.152274,-8.120185,,,,,,19.888422,-41.873228,-2.20274,4.75462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/7/2025,05:07.5,2,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,0,0,Changeup,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,78.01006,-0.501393,2.276491,2035.137139,117.31064,10:00,6.343112,-1.36116,5.975082,-35.421746,10.30669,-13.24443,2.926686,-0.353596,70.377678,-7.249301,-0.260171,0.486704,,,,,,,,,,,,7.076898,8.200598,1.187375,50,6.287183,-4.167569,-113.352388,-1.898066,10.285964,24.330777,-24.706181,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,383d6381-0568-3da8-8d20-6c0310966da9,76.905915,,,7.57523,3.291955,3.160592,0.346816,,,,v978vyqk,3/7/2025,05:07.5,2025-03-07T15:05:07.4721102-05:00,2025-03-07T20:05:07.4721102Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,0c0bde92-2076-4dd2-9951-d965682e99b0,54.134147,-114.236324,12.165389,6.339835,-1.000491,-12.35309,1.345571,-4.541258,5.142982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.249674,,0.021713,,,,,-0.82432,2.992066,0.476883,,,,51.867453,-109.25513,11.049104,-3.598481,21.434346,-16.66256,-3.625415,8.54136,-0.929738,,,,,,,,
4,3/7/2025,05:28.6,2,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,0,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,72.781331,3.095668,-0.344302,2456.125941,331.574667,5:00,6.505865,-1.245139,5.907336,-67.082036,-14.764677,10.116377,3.792041,-0.721724,66.440899,-9.618637,1.587474,0.520588,,,,,,,,,,,,-4.980961,-4.467877,1.268074,50,6.723329,0.392873,-105.709653,4.109975,-6.341982,20.077197,-42.340034,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,6559cf70-9e7b-31ef-a3c1-f8e7203b67f5,71.810659,,,6.274568,2.221486,3.927066,0.743816,,,,v978vyqk,3/7/2025,05:28.6,2025-03-07T15:05:28.5664657-05:00,2025-03-07T20:05:28.5664657Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,e0adc49a-77c3-4efc-99c0-7bc2c7f3c3bd,54.133374,-106.491802,10.038599,6.531088,5.759419,-21.170017,1.247956,0.639938,-3.170991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.009911,,1.851534,,,,,-4.516717,4.478084,2.694768,,,,-234.370038,113.805105,-7.127477,-105.500143,82.314968,-15.156114,25.965591,-12.519295,1.142082,,,,,,,,
5,3/7/2025,05:46.1,2,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,1,1,Changeup,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,78.866096,-1.92863,2.073392,2126.615272,122.531386,10:00,6.333604,-1.304501,5.863639,-31.21738,12.718076,-15.507725,1.940215,-0.669928,72.658671,-7.797672,-0.866013,0.477067,,,,,,,,,,,,7.941676,9.553522,1.14387,50,6.162851,-3.744464,-114.697137,-4.685662,12.105426,20.692865,-22.153155,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,7a860c80-4466-3e91-b2e7-610d27b0b33d,78.296265,,,6.146959,2.8425,2.133364,0.64949,,,,v978vyqk,3/7/2025,05:46.1,2025-03-07T15:05:46.0736967-05:00,2025-03-07T20:05:46.0736967Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,13fa390f-c063-4815-a8c2-79ce5c0ab1fa,54.133626,-115.440488,10.346433,6.316881,-3.889852,-11.076577,1.286193,-4.179328,6.052713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.688835,,1.226345,,,,,-3.989127,5.096856,2.015856,,,,-148.253309,94.997192,-6.050045,-56.617801,59.975769,-13.94009,14.267249,-9.800702,1.531294,,,,,,,,
6,3/7/2025,06:02.6,2,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,1,2,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.974757,-1.052119,2.268827,2164.443849,139.327696,10:45,6.448951,-1.074879,5.771568,-18.172995,17.288397,-8.647324,3.955607,0.316817,80.172296,-4.496113,0.626382,0.428597,,,,,,,,,,,,4.728601,10.986419,0.891527,50,6.353676,-4.815164,-127.913098,-2.881687,8.914483,26.983073,-15.984241,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,91644223-09cc-30a2-8b2a-17954a8e4084,87.008136,,,7.71735,2.521375,4.041732,-0.304349,,,,v978vyqk,3/7/2025,06:02.6,2025-03-07T15:06:02.5557211-05:00,2025-03-07T20:06:02.5557211Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,57dd6702-df25-4b93-bcb9-e1e62d0b7f3d,54.133251,-128.782049,13.491536,6.438188,-2.366938,-7.992121,1.051214,-5.102243,4.457241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.557469,,1.750329,,,,,-4.677704,4.620754,1.288622,,,,-232.821306,122.839892,-8.323054,-85.681562,74.16757,-15.018443,17.148193,-9.690063,1.106713,,,,,,,,
7,3/7/2025,06:20.3,2,5,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,2,2,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,88.374053,-0.670891,2.80251,2259.380161,142.532042,10:45,6.500583,-1.17919,5.935199,-16.0071,18.9696,-8.767012,4.544384,0.691964,80.870583,-3.698678,1.142491,0.425658,,,,,,,,,,,,4.873249,11.648351,0.959835,50,6.439582,-6.033402,-128.534047,-1.978785,9.332915,25.900966,-14.41253,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,01e124aa-856a-3fdb-b60f-05a85c0cf73f,87.867191,,,7.4442,2.154509,4.591813,-0.677067,,,,v978vyqk,3/7/2025,06:20.3,2025-03-07T15:06:20.2732312-05:00,2025-03-07T20:06:20.2732312Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,049864e9-e204-4e6c-990a-2250a8fe399f,54.134759,-129.364561,12.950483,6.495623,-1.516647,-7.206265,1.158094,-6.332662,4.666457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.538006,,1.013687,,,,,-5.168775,5.00946,1.053493,,,,-91.239085,64.071984,-2.969268,-52.630962,62.289374,-15.453632,2.852211,-2.014714,0.531517,,,,,,,,
8,3/7/2025,06:38.4,2,6,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",,Right,COL_LION,Windup,1,Top,1,3,2,Changeup,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,78.951667,-2.240865,3.529731,2135.354228,124.147487,10:15,6.303752,-1.33342,5.883445,-32.93491,10.872104,-14.844989,1.477574,0.711214,73.014951,-8.408396,0.724884,0.476369,,,,,,,,,,,,7.922702,8.725256,1.055598,50,6.107378,-6.682762,-114.690837,-5.364358,12.130053,19.893505,-23.374524,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,4388b842-2910-342e-a56d-13769b7922f5,78.438143,,,5.880609,3.136459,1.728521,-0.687877,,,,v978vyqk,3/7/2025,06:38.4,2025-03-07T15:06:38.4515449-05:00,2025-03-07T20:06:38.4515449Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,10a0bc21-c561-4ec8-a8c6-1b88da2874dc,54.133963,-115.405659,9.946753,6.285043,-4.524455,-11.687262,1.303557,-7.118624,6.065027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.078185,,1.663692,,,,,-3.670422,4.589347,1.58888,,,,-199.382045,105.167702,-6.409227,-78.90381,67.454986,-13.289614,23.691744,-15.516075,2.424192,,,,,,,,
9,3/7/2025,07:10.5,3,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",,Right,COL_LION,Stretch,1,Top,1,0,0,Changeup,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.249436,-0.14892,1.897944,2133.658262,116.10057,9:45,6.385491,-1.376301,5.814162,-34.348975,11.807863,-15.521763,3.384906,-0.904439,70.367468,-6.662491,-1.058797,0.488978,,,,,,,,,,,,7.982366,8.846005,1.228169,50,6.357495,-3.325651,-112.331249,-1.170046,11.540412,21.755178,-23.886071,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,32bebe60-92ae-346a-8dd7-70e1b6be7f0d,76.324329,,,6.808512,2.289798,3.485944,0.888736,,,,v978vyqk,3/7/2025,07:10.5,2025-03-07T15:07:10.5267601-05:00,2025-03-07T20:07:10.5267601Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,83c15a33-18f3-4bb6-8098-0e7bf9a63383,54.133536,-113.128958,10.877589,6.38434,-0.294202,-11.943035,1.35787,-3.748809,5.770206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.612884,,2.031265,,,,,-2.751946,4.70421,1.943762,,,,-269.558885,126.311544,-8.112808,-118.070564,86.751996,-15.092425,21.36917,-10.483265,1.101294,,,,,,,,
10,3/7/2025,07:31.9,3,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",,Right,COL_LION,Stretch,1,Top,1,1,0,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.399817,-2.438796,3.190532,2123.899415,144.498733,10:45,6.315336,-1.01872,6.047504,-17.951205,17.94319,-11.235091,2.560595,1.001425,80.00126,-5.821138,1.061765,0.431206,,,,,,,,,,,,6.169554,11.665917,0.775799,50,6.117,-6.750955,-126.97275,-5.937282,11.505775,25.737149,-14.954872,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,f01d7163-e5b5-3980-ade3-9079b628e656,86.91279,,,7.35503,2.548925,2.675305,-0.979906,,,,v978vyqk,3/7/2025,07:31.9,2025-03-07T15:07:31.9441061-05:00,2025-03-07T20:07:31.9441061Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,21e687f4-373b-4473-ac8e-e5afcf97c18c,54.134695,-127.808097,12.868575,6.301829,-5.451894,-7.477436,1.000974,-7.124396,5.752887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.883395,,2.550184,,,,,-3.579428,4.674224,1.43544,,,,-333.125487,134.960102,-8.192732,-162.224856,100.884971,-15.061659,18.547568,-8.282504,0.85291,,,,,,,,
11,3/7/2025,07:52.8,3,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",,Right,COL_LION,Stretch,1,Top,1,2,0,Changeup,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.589202,-1.254347,2.615647,2052.170234,118.26952,10:00,6.326691,-1.280644,5.85619,-34.688849,12.17037,-15.319832,2.270708,-0.125551,70.134762,-7.801809,-0.29618,0.492685,,,,,,,,,,,,8.038243,9.350392,1.075592,50,6.208849,-4.696598,-111.328271,-3.321208,11.462921,20.666899,-23.354815,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,5b72739b-fec5-3807-92ef-423eb1ae5653,75.806489,,,6.390373,2.895271,2.470681,0.119118,,,,v978vyqk,3/7/2025,07:52.8,2025-03-07T15:07:52.7863072-05:00,2025-03-07T20:07:52.7863072Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,bd58c5d7-23d2-4f73-94f7-0a41d143f15c,54.133923,-112.093063,10.33345,6.315761,-2.456948,-11.677408,1.257242,-5.120791,5.731461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.763994,,1.285389,,,,,-3.798395,5.282555,1.549093,,,,-159.848263,97.493633,-5.472274,-54.973503,57.33811,-13.188265,16.184611,-11.537941,1.85978,,,,,,,,
12,3/7/2025,08:14.2,3,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",,Right,COL_LION,Stretch,1,Top,1,2,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,87.185252,-0.896751,1.940705,2164.747299,142.43836,10:45,6.380434,-1.154233,5.815803,-20.651049,15.74578,-13.897012,3.825875,-0.507185,78.80697,-4.82802,-0.712303,0.434213,,,,,,,,,,,,7.243473,10.298629,1.001883,50,6.297605,-3.894735,-126.722976,-2.577775,13.259493,28.772712,-17.799516,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,bbf8060a-f3ff-3b79-84c2-e2a6b7f6042d,85.954847,,,8.293227,2.553041,3.921016,0.4937,,,,v978vyqk,3/7/2025,08:14.2,2025-03-07T15:08:14.2176706-05:00,2025-03-07T20:08:14.2176706Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,702e5dfe-1f29-4e47-8d62-162df42585ab,54.13348,-127.658042,14.386356,6.371979,-1.99932,-8.899758,1.135458,-4.325647,6.629746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.712261,,2.249918,,,,,-3.458694,4.67947,1.957178,,,,-287.593235,127.410755,-8.02991,-133.683103,92.526467,-15.266791,13.919165,-6.054465,0.595313,,,,,,,,
13,3/7/2025,08:35.2,3,5,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",,Right,COL_LION,Stretch,1,Top,1,3,1,Changeup,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,77.14339,-1.222632,1.455517,2103.486744,116.212791,9:45,6.266683,-1.416603,5.796178,-37.093963,9.157802,-17.173575,2.03858,-1.493609,70.600281,-8.226182,-1.814498,0.489481,,,,,,,,,,,,8.656866,7.854805,1.304988,50,6.14919,-2.411732,-112.182946,-3.342507,12.493862,21.540614,-25.340627,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,4a15fcd7-1ecc-3d5c-81e3-da9b2a28353c,76.222299,,,6.46986,1.87355,2.104444,1.479253,,,,v978vyqk,3/7/2025,08:35.2,2025-03-07T15:08:35.1756458-05:00,2025-03-07T20:08:35.1756458Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,5487b8c9-966b-40bb-b0cd-578637fce805,54.134358,-112.974008,10.770307,6.254853,-2.411892,-12.670313,1.401982,-2.870559,6.246931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3/7/2025,09:34.5,4,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Lazits, Anton",,Right,COL_LION,Stretch,1,Top,1,0,0,Changeup,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.765062,-0.024269,2.55278,2094.346977,120.76951,10:00,6.261291,-1.37193,5.908419,-35.677431,11.30088,-18.532797,3.265851,-0.545418,69.599899,-6.805635,-0.985244,0.49331,71.327154,68.771104,138.952511,4984.249841,-84.909518,103.680878,69.934545,159.081948,96.232103,140.69419,5.346069,9.654488,8.622707,1.175761,50,6.2429,-4.505145,-111.557535,-0.949266,13.689924,22.375157,-24.424745,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,90ebc613-2148-33ac-b5c2-9127f966a530,75.782848,116.543151,2.959685,7.101334,3.07008,3.459698,0.518839,1.047716,3.262023,0.51597,v978vyqk,3/7/2025,09:34.5,2025-03-07T15:09:34.5370334-05:00,2025-03-07T20:09:34.5370334Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,d470ee5b-3774-41d0-ae1e-c3c7b8e1430b,54.133291,-112.383494,11.187578,6.2613,-0.047648,-12.212372,1.351392,-5.010497,6.844962,187.314093,16.955484,-33.972074,4.562847,-1.540645,0.572471,-0.175239,0.033578,-0.003381,0.000137,-51.043571,122.698979,-27.887957,1.763403,0.492442,-0.26233,0.046803,-0.003718,0.00011,-12.331053,27.435654,-3.684929,1.244216,-0.462324,0.141522,-0.027117,0.00273,-0.000111,54.064172,,2.963102,,,,,-4.092025,4.642964,2.912756,,,,-357.173201,125.61921,-6.789319,-219.404661,118.952274,-15.661155,34.772174,-11.730432,0.72704,,,,,,,,
15,3/7/2025,10:00.4,4,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Lazits, Anton",,Right,COL_LION,Stretch,1,Top,1,0,1,FourSeamFastball,Undefined,InPlay,Undefined,FlyBall,HomeRun,0,3,ReportType:HE|Version:1|Revision:0,87.701944,-1.675889,2.310209,2179.57272,140.206957,10:45,6.316136,-1.155795,5.901699,-22.588218,13.858254,-12.050248,2.877874,-0.014379,78.362377,-5.995933,-0.005454,0.434509,99.848525,36.854804,-35.066447,3212.427531,88.725047,71.671334,-65.013836,362.042973,53.386701,-36.573837,4.747925,6.564388,9.681544,0.97578,50,6.1712,-4.791932,-127.307831,-4.37222,11.942201,32.337198,-18.980157,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,9dd50ca9-a59f-3f11-9843-c9c57707b882,86.033026,92.862897,0.490821,9.260074,2.675864,3.008891,0.014983,1.62096,2.885044,-0.03435,v978vyqk,3/7/2025,10:00.4,2025-03-07T15:10:00.4063723-05:00,2025-03-07T20:10:00.4063723Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,1369278f-13b9-4d5e-8dd4-b96e89a63b6d,54.133794,-128.353553,16.168599,6.302664,-3.758439,-9.490079,1.136986,-5.17812,5.971101,173.356054,-39.849827,102.001831,-15.548583,3.401651,-0.642424,0.096338,-0.012021,0.001034,-0.000041,-41.369383,115.686636,-32.787848,4.512759,-0.618036,0.022297,0.00599,-0.000667,0.000015,30.90278,-76.093176,11.599214,-2.537625,0.479247,-0.071868,0.008968,-0.000771,0.000031,34.96743,,17.846658,,,,,16.884191,6.813237,3.196099,,,,-1833.211816,152.463657,-2.804053,-5177.23018,555.439868,-14.871423,238.919351,-20.321669,0.406284,,,,,,,,
16,3/7/2025,10:49.7,5,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Kail, Jack",,Left,COL_LION,Windup,1,Top,1,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,76.445153,0.799361,0.53769,2390.409414,314.858068,4:30,6.188621,-1.628119,6.025383,-47.770547,0.115627,7.648567,2.948179,-0.492824,68.725627,-8.325506,2.008134,0.498054,,,,,,,,,,,,-3.544962,2.995036,1.58262,50,6.22916,-1.233171,-111.108028,0.360759,-4.906127,24.802864,-32.442801,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,70d543ac-bd5e-3b0f-aef1-1433921fedf1,75.223282,,,7.667382,1.927756,3.022723,0.510712,,,,v978vyqk,3/7/2025,10:49.7,2025-03-07T15:10:49.7329585-05:00,2025-03-07T20:10:49.7329585Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,68df75f2-0962-464a-85aa-a06c3992dfd6,54.13479,-112.027243,12.401432,6.19351,1.563116,-16.2214,1.624953,-1.051345,-2.453063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.872554,,1.014833,,,,,-3.231681,5.378794,0.269099,,,,-132.208411,94.826724,-6.328585,-48.910579,59.410698,-15.550428,7.000036,-5.174125,0.479247,,,,,,,,
17,3/7/2025,11:04.3,5,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Kail, Jack",,Left,COL_LION,Windup,1,Top,1,0,1,FourSeamFastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,ReportType:HE|Version:1|Revision:0,86.374298,-3.453989,3.570362,2165.228275,145.113193,10:45,6.339317,-1.232014,5.954416,-22.948142,14.412409,-14.357072,1.2203,0.886676,78.147197,-7.78865,0.830405,0.439925,,,,,,,,,,,,7.9386,10.479975,0.955014,50,6.053875,-7.403636,-125.174914,-8.217825,14.146045,28.568738,-17.971281,GEO_BUL,COL_LION,Truist Park,College,CBB,v978vyqk,a7778309-ab10-3409-b2c3-e07421b81522,85.049376,,,8.164092,3.184157,1.459446,-0.8594,,,,v978vyqk,3/7/2025,11:04.3,2025-03-07T15:11:04.3207313-05:00,2025-03-07T20:11:04.3207313Z,,0.1.5_BaseballPlayFeedGenerator_5.87.0,,,,"Hunter, Henry",802001,Right,,1d01c701-e4c0-4be5-8278-99c13ed64013,54.133086,-126.114683,14.284369,6.314477,-7.626659,-8.98564,1.20621,-7.86897,7.073022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.254987,,1.624377,,,,,-3.646667,5.325103,0.134804,,,,-179.899453,96.112638,-5.198646,-74.840427,66.760689,-13.52831,14.404637,-9.886173,1.440447,,,,,,,,
